school_name,city_state,district,rank_state_elementary,grade_level,enrollment,student_teacher_ratio,description,source_page,source_raw_school_name
Memorial Drive Elementary,"Houston, TX",Spring Branch Independent School District,55.0,PK-5,362,15:1,"Memorial Drive Elementary is a  school located in Houston, TX, which is in a large suburb setting.  The student population of Memorial Drive Elementary is 362, and the school serves PK through 5 At Memorial...",6,Memorial DriveElementary
Rummel Creek Elementary,"Houston, TX",Spring Branch Independent School District,57.0,PK-5,810,17:1,"Rummel Creek Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Rummel Creek Elementary is 810, and the school serves PK through 5 At Rummel Creek...",6,Rummel CreekElementary
Buckalew Elementary,"The Woodlands, TX",Conroe Independent School District,58.0,PK-4,743,16:1,"Buckalew Elementary is a  school located in The Woodlands, TX, which is in a mid-size city setting.  The student population of Buckalew Elementary is 743, and the school serves PK through 4 At Buckalew...",6,BuckalewElementary
George B Dealey Montessori Academy,"Dallas, TX",Dallas Independent School District,59.0,PK-8,636,15:1,"George B Dealey Montessori Academy is a  school located in Dallas, TX, which is in a large city setting.  The student population of George B Dealey Montessori Academy is 636, and the school serves PK through...",6,George B Dealey MontessoriAcademy
Roberts Elementary,"Houston, TX",Houston Independent School District,60.0,PK-5,730,18:1,"Roberts Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Roberts Elementary is 730, and the school serves PK through 5 At Roberts Elementary,...",6,RobertsElementary
Old Settlers Elementary,"Flower Mound, TX",Lewisville Independent School District,61.0,PK-5,472,13:1,"Old Settlers Elementary is a  school located in Flower Mound, TX, which is in a large suburb setting.  The student population of Old Settlers Elementary is 472, and the school serves PK through 5 At Old...",7,Old SettlersElementary
Anderson Elementary,"Plano, TX",Frisco Independent School District,62.0,K-5,791,18:1,"Anderson Elementary is a  school located in Plano, TX, which is in a large city setting.  The student population of Anderson Elementary is 791, and the school serves K through 5 At Anderson Elementary,...",7,AndersonElementary
Cornerstone Elementary,"Sugar Land, TX",Fort Bend Independent School District,63.0,PK-5,850,17:1,"Cornerstone Elementary is a  school located in Sugar Land, TX, which is in a mid-size city setting.  The student population of Cornerstone Elementary is 850, and the school serves PK through 5 At Cornerstone...",7,CornerstoneElementary
James E Randolph Elementary,"Fulshear, TX",Katy Independent School District,64.0,PK-5,"1,032",15:1,"James E Randolph Elementary is a  school located in Fulshear, TX, which is in a large suburb setting.  The student population of James E Randolph Elementary is 1032, and the school serves PK through 5...",7,James E RandolphElementary
Horn Elementary,"Bellaire, TX",Houston Independent School District,65.0,PK-5,753,18:1,"Horn Elementary is a  school located in Bellaire, TX, which is in a large suburb setting.  The student population of Horn Elementary is 753, and the school serves PK through 5 At Horn Elementary, 83% scored...",7,HornElementary
Palo Pinto Elementary,"Palo Pinto, TX",,66.0,PK-6,102,10:1,"Palo Pinto Elementary is a  school located in Palo Pinto, TX, which is in a distant rural setting.  The student population of Palo Pinto Elementary is 102, and the school serves PK through 6 At Palo Pinto...",7,Palo PintoElementary
Ortiz Elementary,"Brownsville, TX",Brownsville Independent School District,67.0,PK-5,533,16:1,"Ortiz Elementary is a  school located in Brownsville, TX, which is in a mid-size city setting.  The student population of Ortiz Elementary is 533, and the school serves PK through 5 At Ortiz Elementary,...",7,OrtizElementary
Robert L Puster Elementary,"Fairview, TX",Lovejoy Independent School District,68.0,K-4,551,13:1,"Robert L Puster Elementary is a  school located in Fairview, TX, which is in a large suburb setting.  The student population of Robert L Puster Elementary is 551, and the school serves K through 4 At Robert...",7,Robert L PusterElementary
Liberty Elementary,"Flower Mound, TX",Lewisville Independent School District,69.0,PK-5,594,13:1,"Liberty Elementary is a  school located in Flower Mound, TX, which is in a large suburb setting.  The student population of Liberty Elementary is 594, and the school serves PK through 5 At Liberty Elementary,...",7,LibertyElementary
Clayton Elementary,"Austin, TX",Austin Independent School District,70.0,PK-5,675,14:1,"Clayton Elementary is a  school located in Austin, TX, which is in a large city setting.  The student population of Clayton Elementary is 675, and the school serves PK through 5 At Clayton Elementary,...",7,ClaytonElementary
Hoffmann Lane Elementary,"New Braunfels, TX",Comal Independent School District,71.0,PK-5,717,16:1,"Hoffmann Lane Elementary is a  school located in New Braunfels, TX, which is in a fringe rural setting.  The student population of Hoffmann Lane Elementary is 717, and the school serves PK through 5 At...",8,Hoffmann LaneElementary
Wyatt Elementary,"Plano, TX",Plano Independent School District,72.0,K-5,325,11:1,"Wyatt Elementary is a  school located in Plano, TX, which is in a large city setting.  The student population of Wyatt Elementary is 325, and the school serves K through 5 At Wyatt Elementary, 87% scored...",8,WyattElementary
Mitchell Int,"The Woodlands, TX",Conroe Independent School District,73.0,5-6,"1,243",18:1,"Mitchell Int is a  school located in The Woodlands, TX, which is in a mid-size city setting.  The student population of Mitchell Int is 1243, and the school serves 5 through 6 At Mitchell Int, 85% scored...",8,MitchellInt
Wellington Elementary,"Flower Mound, TX",Lewisville Independent School District,74.0,PK-5,726,15:1,"Wellington Elementary is a  school located in Flower Mound, TX, which is in a large suburb setting.  The student population of Wellington Elementary is 726, and the school serves PK through 5 At Wellington...",8,WellingtonElementary
Basis San Antonio Pri- Medical Center Campus,"San Antonio, TX",,75.0,K-5,771,19:1,"Basis San Antonio Pri- Medical Center Campus is a  school located in San Antonio, TX, which is in a large city setting.  The student population of Basis San Antonio Pri- Medical Center Campus is 771, and...",8,Basis San Antonio Pri- Medical CenterCampus
Norris Elementary,"Frisco, TX",Frisco Independent School District,76.0,K-5,644,16:1,"Norris Elementary is a  school located in Frisco, TX, which is in a large suburb setting.  The student population of Norris Elementary is 644, and the school serves K through 5 At Norris Elementary, 86%...",8,NorrisElementary
Barton Hills Elementary,"Austin, TX",Austin Independent School District,77.0,PK-5,304,13:1,"Barton Hills Elementary is a  school located in Austin, TX, which is in a large city setting.  The student population of Barton Hills Elementary is 304, and the school serves PK through 5 At Barton Hills...",8,Barton HillsElementary
Mills Elementary,"Austin, TX",Austin Independent School District,78.0,PK-5,744,13:1,"Mills Elementary is a  school located in Austin, TX, which is in a large city setting.  The student population of Mills Elementary is 744, and the school serves PK through 5 At Mills Elementary, 79% scored...",8,MillsElementary
Crestview Elementary,"Lubbock, TX",Frenship Independent School District,79.0,PK-5,585,16:1,"Crestview Elementary is a  school located in Lubbock, TX, which is in a large city setting.  The student population of Crestview Elementary is 585, and the school serves PK through 5 At Crestview Elementary,...",8,CrestviewElementary
Sparks Elementary,"Frisco, TX",Frisco Independent School District,80.0,K-5,568,15:1,"Sparks Elementary is a  school located in Frisco, TX, which is in a large suburb setting.  The student population of Sparks Elementary is 568, and the school serves K through 5 At Sparks Elementary, 81%...",8,SparksElementary
Stanley C Stanley Elementary,"Katy, TX",Katy Independent School District,81.0,PK-5,887,14:1,"Stanley C Stanley Elementary is a  school located in Katy, TX, which is in a large suburb setting.  The student population of Stanley C Stanley Elementary is 887, and the school serves PK through 5 At...",9,Stanley C StanleyElementary
David Elementary,"The Woodlands, TX",Conroe Independent School District,82.0,PK-4,629,17:1,"David Elementary is a  school located in The Woodlands, TX, which is in a mid-size city setting.  The student population of David Elementary is 629, and the school serves PK through 4 At David Elementary,...",9,DavidElementary
River Ridge Elementary,"Austin, TX",Leander Independent School District,83.0,K-5,423,12:1,"River Ridge Elementary is a  school located in Austin, TX, which is in a large suburb setting.  The student population of River Ridge Elementary is 423, and the school serves K through 5 At River Ridge...",9,River RidgeElementary
Tom Wilson Elementary,"Katy, TX",Katy Independent School District,84.0,PK-5,"1,121",14:1,"Tom Wilson Elementary is a  school located in Katy, TX, which is in a large suburb setting.  The student population of Tom Wilson Elementary is 1121, and the school serves PK through 5 At Tom Wilson Elementary,...",9,Tom WilsonElementary
Walnut Glen Acad for Excellence,"Garland, TX",Garland Independent School District,85.0,PK-5,409,15:1,"Walnut Glen Acad for Excellence is a  school located in Garland, TX, which is in a large suburb setting.  The student population of Walnut Glen Acad for Excellence is 409, and the school serves PK through...",9,Walnut Glen Acad forExcellence
Liscano Elementary,"Frisco, TX",Frisco Independent School District,86.0,K-5,701,17:1,"Liscano Elementary is a  school located in Frisco, TX, which is in a large suburb setting.  The student population of Liscano Elementary is 701, and the school serves K through 5 At Liscano Elementary,...",9,LiscanoElementary
Mathews Elementary,"Plano, TX",Plano Independent School District,87.0,PK-5,466,14:1,"Mathews Elementary is a  school located in Plano, TX, which is in a large city setting.  The student population of Mathews Elementary is 466, and the school serves PK through 5 At Mathews Elementary, 79%...",9,MathewsElementary
Andrews Elementary,"Plano, TX",Plano Independent School District,88.0,K-5,439,13:1,"Andrews Elementary is a  school located in Plano, TX, which is in a large city setting.  The student population of Andrews Elementary is 439, and the school serves K through 5 At Andrews Elementary, 80%...",9,AndrewsElementary
Valley Oaks Elementary,"Houston, TX",Spring Branch Independent School District,89.0,PK-5,882,17:1,"Valley Oaks Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Valley Oaks Elementary is 882, and the school serves PK through 5 At Valley Oaks...",9,Valley OaksElementary
Hassler Elementary,"Klein, TX",Klein Independent School District,90.0,PK-5,613,14:1,"Hassler Elementary is a  school located in Klein, TX, which is in a large suburb setting.  The student population of Hassler Elementary is 613, and the school serves PK through 5 At Hassler Elementary,...",9,HasslerElementary
Galatas Elementary,"The Woodlands, TX",Conroe Independent School District,91.0,PK-4,810,16:1,"Galatas Elementary is a  school located in The Woodlands, TX, which is in a mid-size city setting.  The student population of Galatas Elementary is 810, and the school serves PK through 4 At Galatas Elementary,...",10,GalatasElementary
Sundown Elementary,"Sundown, TX",Sundown Independent School District,92.0,PK-5,242,11:1,"Sundown Elementary is a  school located in Sundown, TX, which is in a distant rural setting.  The student population of Sundown Elementary is 242, and the school serves PK through 5 At Sundown Elementary,...",10,SundownElementary
Markham Elementary,"Markham, TX",Tidehaven Independent School District,93.0,PK-5,257,16:1,"Markham Elementary is a  school located in Markham, TX, which is in a distant rural setting.  The student population of Markham Elementary is 257, and the school serves PK through 5 At Markham Elementary,...",10,MarkhamElementary
Cedar Creek Elementary,"Austin, TX",Eanes Independent School District,94.0,K-5,517,11:1,"Cedar Creek Elementary is a  school located in Austin, TX, which is in a large city setting.  The student population of Cedar Creek Elementary is 517, and the school serves K through 5 At Cedar Creek Elementary,...",10,Cedar CreekElementary
Beverly Elementary,"Allen, TX",Plano Independent School District,95.0,K-5,371,13:1,"Beverly Elementary is a  school located in Allen, TX, which is in a large suburb setting.  The student population of Beverly Elementary is 371, and the school serves K through 5 At Beverly Elementary,...",10,BeverlyElementary
Sienna Crossing Elementary,"Missouri City, TX",Fort Bend Independent School District,96.0,PK-5,"1,048",17:1,"Sienna Crossing Elementary is a  school located in Missouri City, TX, which is in a large suburb setting.  The student population of Sienna Crossing Elementary is 1048, and the school serves PK through...",10,Sienna CrossingElementary
Odessa Kilpatrick Elementary,"Katy, TX",Katy Independent School District,97.0,PK-5,"1,033",14:1,"Odessa Kilpatrick Elementary is a  school located in Katy, TX, which is in a large suburb setting.  The student population of Odessa Kilpatrick Elementary is 1033, and the school serves PK through 5 At...",10,Odessa KilpatrickElementary
Collins Int,"The Woodlands, TX",Conroe Independent School District,98.0,5-6,779,17:1,"Collins Int is a  school located in The Woodlands, TX, which is in a mid-size city setting.  The student population of Collins Int is 779, and the school serves 5 through 6 At Collins Int, 81% scored at...",10,CollinsInt
Nichols Elementary,"Frisco, TX",Frisco Independent School District,99.0,K-5,689,16:1,"Nichols Elementary is a  school located in Frisco, TX, which is in a large suburb setting.  The student population of Nichols Elementary is 689, and the school serves K through 5 At Nichols Elementary,...",10,NicholsElementary
Hunt Elementary,"Murphy, TX",Plano Independent School District,100.0,K-5,518,14:1,"Hunt Elementary is a  school located in Murphy, TX, which is in a large suburb setting.  The student population of Hunt Elementary is 518, and the school serves K through 5 At Hunt Elementary, 78% scored...",10,HuntElementary
Viridian Elementary,"Arlington, TX",Hurst-Euless-Bedford Independent School District,101.0,PK-6,837,18:1,"Viridian Elementary is a  school located in Arlington, TX, which is in a large city setting.  The student population of Viridian Elementary is 837, and the school serves PK through 6 At Viridian Elementary,...",11,ViridianElementary
Walker Station Elementary,"Sugar Land, TX",Fort Bend Independent School District,102.0,PK-5,776,15:1,"Walker Station Elementary is a  school located in Sugar Land, TX, which is in a mid-size city setting.  The student population of Walker Station Elementary is 776, and the school serves PK through 5 At...",11,Walker StationElementary
Stephen F Austin State University Charter School,"Nacogdoches, TX",,103.0,K-5,254,15:1,"Stephen F Austin State University Charter School is a  school located in Nacogdoches, TX, which is in a remote town setting.  The student population of Stephen F Austin State University Charter School...",11,Stephen F Austin State University CharterSchool
Sloan Creek Int,"Fairview, TX",Lovejoy Independent School District,104.0,5-6,641,15:1,"Sloan Creek Int is a  school located in Fairview, TX, which is in a large suburb setting.  The student population of Sloan Creek Int is 641, and the school serves 5 through 6 At Sloan Creek Int, 88% scored...",11,Sloan CreekInt
Gullett Elementary,"Austin, TX",Austin Independent School District,105.0,PK-5,534,13:1,"Gullett Elementary is a  school located in Austin, TX, which is in a large city setting.  The student population of Gullett Elementary is 534, and the school serves PK through 5 At Gullett Elementary,...",11,GullettElementary
